ASTELLAS PHARMA,Médecin,KORNER OLIVIER,02/07/2013,02/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,BOUVIER ALAIN,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BOUVIER ALAIN,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,KORNER OLIVIER,04/03/2014,04/03/2014 -,Formation,,
ASTRAZENECA,Médecin,KORNER OLIVIER,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,KORNER OLIVIER,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,KORNER OLIVIER,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,KORNER OLIVIER,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,PICOLLET BONNE FRANCOISE,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,PICOLLET BONNE FRANCOISE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PICOLLET BONNE FRANCOISE,04/03/2014,04/03/2014 -,Formation,,
ASTRAZENECA,Médecin,PICOLLET BONNE FRANCOISE,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PICOLLET BONNE FRANCOISE,15/04/2014,15/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,BOUVIER ALAIN,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DUMONT JEAN,14/11/2013,14/11/2013 - 14/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,KORNER OLIVIER,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,PICOLLET BONNE FRANCOISE,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BIOCODEX,Médecin,KORNER OLIVIER,10/06/2014,10/06/2014 - 10/06/2014,FORMATION,,
BIOCODEX,Médecin,PICOLLET BONNE FRANCOISE,10/06/2014,10/06/2014 - 10/06/2014,FORMATION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOUVIER ALAIN,11/02/2014,11/02/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
