ASTRAZENECA,Association professionnel de santé,Association de Formation Médicale Continue des Hauts de Garonne,21/11/2013,21/11/2013 -,Autre,,
ASTRAZENECA,Médecin,ELIAS MOURAD,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PATIN ERIC,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PATIN ERIC,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,PATIN ERIC,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,PATIN ERIC,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,PATIN ERIC,21/11/2013,21/11/2013 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,COUTHOUIS JEAN PIERRE,23/01/2014,23/01/2014 -,Autre : [hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PATIN ERIC,16/05/2013,16/05/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PATIN ERIC,16/05/2013,16/05/2013 -,Autre : [Convention hospitalite],,
Laboratoires Grünenthal SAS,Infirmier,MAURY CHASSIN CATHERINE,03/04/2014,03/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,CHAUVEAU ERIC,03/04/2014,03/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,CUGUILLIERE ALAIN,03/04/2014,03/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,FAYOLLE LUCAS,03/04/2014,03/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,LAGADEC TIPHAINE,03/04/2014,03/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,QUINQUENEL MARIE LINE,03/04/2014,03/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,RENAULT LIONEL,03/04/2014,03/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,VION MICHEL,03/04/2014,03/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Pharmacien,BARRERE LAFFARGUE CATHERINE,17/06/2014,17/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Pharmacien,CHARRUEY OULIEU SYLVIE,17/06/2014,17/06/2014 -,REUNION SCIENTIFIQUE,,
