A+A,Médecin,BILLY HELENE,16/07/2012,16/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DEGIORGIS XAVIER,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SLAMANI HOCINE,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SLAMANI HOCINE,13/11/2013,13/11/2013 -,Congrès/Symposium,,
JANSSEN-CILAG,Médecin,SLAMANI HOCINE,27/09/2013,27/09/2013 - 27/09/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,SLAMANI HOCINE,02/05/2013,21/06/2013 - 21/06/2013,CONGRES / SYMPOSIUM,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE BRAS ISABELLE,17/07/2013,17/07/2013 - 15/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE BRAS ISABELLE,17/07/2013,17/07/2013 - 15/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE BRAS ISABELLE,23/04/2014,23/04/2014 - 23/10/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE BRAS ISABELLE,17/07/2013,17/07/2013 - 15/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE BRAS ISABELLE,17/07/2013,17/07/2013 - 15/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,RUMMENS XAVIER,17/04/2014,17/04/2014 - 17/10/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,RUMMENS XAVIER,20/12/2013,20/12/2013 - 20/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,RUMMENS XAVIER,18/04/2014,18/04/2014 - 18/10/2014,AUTRE : Recherche épidémiologique,,
LES LABORATOIRES SERVIER,Médecin,BERCU SANDRA,10/04/2014,10/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,SLAMANI HOCINE,10/04/2014,10/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LUNDBECK SAS,Médecin,BASELY ERIC,20/06/2014,20/06/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,JOSSO JEAN FRANCOIS,20/03/2014,20/03/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,JOSSO JEAN FRANCOIS,25/06/2014,25/06/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,LE GALUDEC JEAN PAUL,25/06/2014,25/06/2014 -,CONVENTION D'HOSPITALITE,,
