3M France,Chirurgien-dentiste,ALIK MADHI,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Médecin,MORAND JEAN PIERRE,07/03/2012,06/03/2012 -,ETUDE DE MARCHE,,
BOIRON,Pharmacien,BLANC-GUILLET LAURENCE,22/05/2014,22/05/2014 -,[FORMATION],,
IMS Medical Radar,Médecin,LAROCHE FREDERIC,02/04/2014,02/04/2014 - 02/04/2014,autre: ETUDE,,
IMS Medical Radar,Médecin,LAROCHE FREDERIC,02/03/2014,02/03/2014 - 02/03/2014,autre: ETUDE,,
IPSEN PHARMA,Pharmacien,ABATE OLIVIER,19/11/2013,19/11/2013 - 19/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Pharmacien,CARRICAJO IGNACIO,19/11/2013,19/11/2013 - 19/11/2013,CONVENTION HOSPITALITE,,
Laboratoire DERMSCAN,Médecin,AMADIEU ELISA,12/02/2014,12/02/2014 - 02/03/2015,Recherche biomédicale,,
MSD France,Médecin,LAROCHE FREDERIC,30/06/2013,19/03/2013 -,RECHERCHE BIOMÉDICALE,,
PIERRE FABRE MEDICAMENT,Médecin,MORAND JEAN PIERRE,28/02/2014,28/02/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,MORAND JEAN PIERRE,19/12/2013,19/12/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,GDE PHIE DES BALMES / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,GDE PHIE DES BALMES / SNC,13/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,GDE PHIE DES BALMES / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L EUROPE / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L EUROPE / SARL,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L EUROPE / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L EUROPE / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE  DU VILLAGE / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE  DU VILLAGE / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
