A+A,Pharmacien,FAYET HUGUES,10/02/2014,10/02/2014 -,ETUDE DE MARCHE,,
AbbVie,Médecin,BROCHART JEAN FRANCOIS,10/04/2014,10/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,BROCHART JEAN FRANCOIS,18/09/2013,18/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,NALLET GERARD,10/04/2014,10/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,NALLET GERARD,18/09/2013,18/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Pharmacien,CORCY VINCENT,13/03/2014,13/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
B3TSI,Médecin,HANNA MAY,01/06/2014,01/06/2014 -,autre : enquête téléphonique,,
B3TSI,Médecin,THEVENOT CORINNE,10/06/2014,10/06/2014 -,autre : enquête téléphonique,,
Bayer HealthCare SAS,Médecin,TRICHET CLAUDINE,28/06/2013,28/06/2013 - 28/06/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,TRICHET CLAUDINE,22/11/2013,22/11/2013 - 22/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Médecin,BOUTHORS FRANCOIS,19/06/2014,19/06/2014 -,[FORMATION],,
BOIRON,Médecin,BOUTHORS FRANCOIS,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Médecin,DUBOISSET FRANCOIS,19/06/2014,19/06/2014 -,[FORMATION],,
BOIRON,Médecin,HUART ANNE-SOPHIE,14/04/2014,14/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,DIER RAPHAEL,17/03/2014,17/03/2014 -,[FORMATION],,
BOIRON,Sage-femme,HUART ANNE SOPHIE,03/10/2013,03/10/2013 -,[FORMATION],,
BOIRON,Sage-femme,HUART ANNE SOPHIE,26/06/2014,26/06/2014 -,[FORMATION],,
BOIRON,Sage-femme,HUART ANNE SOPHIE,19/06/2014,19/06/2014 -,[FORMATION],,
BOIRON,Sage-femme,MENNESSON CELIA,03/10/2013,03/10/2013 -,[FORMATION],,
Carl Zeiss Meditec France,Orthoptiste,VANDELANNOITE SERVANNE,04/11/2013,13/12/2013 - 14/12/2013,CONGRES,,
