A+A,Pharmacien,CALMELS FAUGERES DANIELE,08/10/2012,08/10/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MAROULLE EDITH,28/11/2013,28/11/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,VIDAL MICHEL,10/10/2013,10/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDAL MICHEL,12/09/2013,12/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDAL MICHEL,27/02/2014,27/02/2014 - 27/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDAL MICHEL,27/03/2014,27/03/2014 - 27/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDAL MICHEL,10/04/2014,10/04/2014 - 10/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDAL MICHEL,05/06/2014,05/06/2014 - 05/06/2014,Autre : [Convention d'Hospitalité],,
MSD France,Etablissement de santé,PHARMACIE FAUGERES,26/07/2013,26/07/2013 -,EXPERT,,
MSD France,Médecin,VIDAL MICHEL,28/02/2012,28/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,VIDAL MICHEL,08/03/2012,08/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,VIDAL MICHEL,26/04/2012,26/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,VIDAL MICHEL,02/02/2012,02/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,VIDAL MICHEL,04/07/2013,04/07/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VIDAL MICHEL,10/06/2014,10/06/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,VIDAL MICHEL,02/07/2013,02/07/2013 -,CONVENTION D'HOSPITALITE,,
