A+A,Médecin,HAUDEBOURG ANTOINE,12/03/2012,09/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MARUELLE ARNAUD,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MARUELLE ARNAUD,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MARUELLE ARNAUD,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MARUELLE ARNAUD,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MARUELLE ARNAUD,05/12/2013,05/12/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DAUCE ALAIN,09/07/2013,09/07/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,HAUDEBOURG ANTOINE,13/12/2013,13/12/2013 - 13/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,MARUELLE ARNAUD,22/04/2014,22/04/2014 - 22/04/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,MARUELLE ARNAUD,13/12/2013,13/12/2013 - 13/12/2013,Autre : HOSPITALITE RP,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARUELLE ARNAUD,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,MARUELLE ARNAUD,15/10/2013,15/10/2013 -,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,HAUDEBOURG ANTOINE,28/11/2013,28/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,HAUDEBOURG ANTOINE,28/01/2014,28/01/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,LEJAULT ELISABETH,28/01/2014,28/01/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,LEJAULT JEAN-LOUIS,28/01/2014,28/01/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MARUELLE ARNAUD,26/06/2014,26/06/2014 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,MARUELLE ARNAUD,24/05/2014,24/05/2014 - 25/05/2014,Congrès / Symposium,,
MSD France,Médecin,BOSSARD RENE BERNARD,05/07/2012,05/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BRIENT DANIEL,07/09/2012,07/09/2012 -,CONVENTION D HOSPITALITE,,
