A+A,Pharmacien,MOREAU ANGELINE,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,ZYLBERBERG MARION,02/12/2013,02/12/2013 - 02/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Médecin,VACHE CHRISTOPHE,24/06/2014,24/06/2014 -,[FORMATION],,
BOIRON,Médecin,VACHE CHRISTOPHE,19/06/2014,19/06/2014 -,[FORMATION],,
BOIRON,Médecin,VACHE CHRISTOPHE,19/09/2013,19/09/2013 -,[FORMATION],,
BOIRON,Médecin,VACHE CHRISTOPHE,19/12/2013,19/12/2013 -,[FORMATION],,
BOIRON,Sage-femme,CUILLIER BENEDICTE,19/06/2014,19/06/2014 -,[FORMATION],,
Laboratoires Grünenthal SAS,Médecin,LAMBERT JEAN LUC,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,LEGROS JEAN PIERRE,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,LEGROS JEAN PIERRE,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,WILLIOT MICHELE,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Pharmacien,BRION DOMINIQUE,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Pharmacien,MOREAU ANGELINE,17/10/2013,17/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Pharmacien,PAYEN ANNE CLAIRE,17/10/2013,17/10/2013 -,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,LAMBERT JEAN-LUC,20/03/2014,20/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,REMOLEUR JOEL,20/03/2014,20/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,WILLIOT MICHELE,20/03/2014,20/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MAPI SAS,Etablissement de santé,PHARMACIE DES FEUX,16/04/2013,16/04/2013 -,CONVENTION DE RECHERCHE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BRAULT FEGE,03/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
