ABBOTT PRODUCTS SAS,Association professionnel de santé,AROMEP,27/01/2014,27/01/2014 - 10/03/2014,FORMATION,,
ASTRAZENECA,Médecin,BAILLARGEAU ALAIN,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BAILLARGEAU ALAIN,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BARON CHRISTOPHE,06/11/2013,06/11/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,BAILLARGEAU ALAIN,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BARON CHRISTOPHE,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BROUARD LAURE,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CONAN MICHEL,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GOICHON EMMANUELLE,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GOLBERY CORALINE,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,MAUPIN YVES FREDERIC,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,MAY DANDRIEUX SUZANNE,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,SAUZE BRUNO,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,BIO3R,24/06/2014,24/06/2014 -,RECHERCHE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROUARD LAURE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Association professionnel de santé,AROMEP : ASSOCIATION ROCHELAISE DE MEDECINE PHYSIQUE,05/02/2014,08/02/2014 -,CONGRES,,
Lilly France SAS,Médecin,SAUZE BRUNO,18/03/2014,18/03/2014 - 18/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Pharmacien,CHAPELOT GERARD,18/03/2014,18/03/2014 - 18/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Pharmacien,CHAPELOT GICQUELLO PASCALE,18/03/2014,18/03/2014 - 18/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MENARINI FRANCE,Médecin,BROUARD LAURE,22/05/2014,22/05/2014 - 22/05/2014,Autre : Réunion scientifique,,
