A+A,Médecin,BERA MICHEL,27/12/2013,26/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DEVAUD BERTRAND,03/04/2014,03/04/2014 -,Formation,,
JANSSEN-CILAG,Médecin,JOUET ALAIN,21/11/2013,21/11/2013 - 21/11/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUET ALAIN,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,CHARRIE EMMANUEL,26/02/2014,26/02/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,JOUET ALAIN,03/07/2013,03/07/2013 -,AUTRE,,
LABORATOIRES URGO,Infirmier,GRESSELIN GILLES,19/12/2013,19/12/2013 -,HOSPITALITE,,
LABORATOIRES URGO,Infirmier,JUMELLIER VIOLAINE,19/12/2013,19/12/2013 -,HOSPITALITE,,
LES LABORATOIRES SERVIER,Médecin,CHARRIE EMMANUEL,02/04/2014,02/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,CHARRIE EMMANUEL,05/02/2014,05/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,LEVY DANIEL,05/02/2014,05/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MSD France,Infirmier,AUGEREAU GARAUD DELPHINE,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Infirmier,BRUNET NATHALIE,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Infirmier,GASNIER MIGUEL,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Infirmier,GRESSELIN GILLES,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Infirmier,GRESSELIN LE MERCIER FRANCINE,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Infirmier,JULLEMIER VIOLAINE,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHARRIE EMMANUEL,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JOUET ALAIN,15/05/2014,15/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEMAIRE HENRY,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
