A+A,Médecin,DE WASCH MATHILDE,02/02/2012,31/01/2012 -,ETUDE DE MARCHE,,
BARD FRANCE SAS,Médecin,BEE MIREILLE,06/05/2014,06/05/2014 - 06/05/2014,MANIFESTATION PROFESSIONNELLE,,
BOIRON,Pharmacien,MINE ISABELLE,13/05/2014,13/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENYANES LILA,13/05/2014,13/05/2014 -,[FORMATION],,
JANSSEN-CILAG,Médecin,MONGRENIER SEBIRE VERONIQUE,06/06/2013,06/06/2013 - 06/06/2013,CONGRES / SYMPOSIUM,,
LABORATOIRES ALCON,Médecin,DJOUMEGANG JEAN PAUL,24/01/2014,24/01/2014 - 25/01/2014,CONGRES SYMPOSIUM,,
LABORATOIRES MAYOLY SPINDLER,Médecin,MONGRENIER Véronique,30/05/2014,30/05/2014 -,Conseil Relations professionnelles,,
LOL PHARMA,Pharmacien,DELAHOUSSE EMMANUEL DELAHOUSSE EMMANUEL,02/04/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DELAHOUSSE EMMANUEL DELAHOUSSE EMMANUEL,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DELAHOUSSE EMMANUEL DELAHOUSSE EMMANUEL,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,HAZIZA GOZLAN ET HAZIZA HAZIZA GOZLAN ET HAZIZA,16/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,HAZIZA GOZLAN ET HAZIZA HAZIZA GOZLAN ET HAZIZA,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,PILLONNET JEROME PILLONNET JEROME,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,DJOUMEGANG JEAN PAUL,23/01/2012,23/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DJOUMEGANG JEAN PAUL,29/03/2012,29/03/2012 -,CONVENTION D HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,MONGRENIER SEBIRE VERONIQUE,17/10/2013,17/10/2013 - 17/10/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE / SELARL,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
