A+A,Médecin,BADINI ALAIN,06/12/2012,05/12/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,RIGAUT CLAUDE,01/10/2013,01/10/2013 -,Formation,,
ASTRAZENECA,Médecin,RIGAUT CLAUDE,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RIGAUT CLAUDE,10/06/2014,10/06/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,RIGAUT CLAUDE,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,RIGAUT CLAUDE,11/06/2014,11/06/2014 - 11/06/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,RIGAUT CLAUDE,19/09/2013,19/09/2013 - 19/09/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIGAUT CLAUDE,18/07/2013,18/07/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIGAUT CLAUDE,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIGAUT CLAUDE,03/10/2013,03/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIGAUT CLAUDE,09/04/2014,09/04/2014 - 09/04/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Expanscience,Médecin,RIGAUT CLAUDE,28/11/2013,28/11/2013 - 28/11/2013,Formation,,
LES LABORATOIRES SERVIER,Médecin,DUPONT JEAN-CHRISTOPHE,20/02/2014,20/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,FUMAGALLI PATRICK,20/02/2014,20/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,RIGAUT CLAUDE,16/01/2014,16/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,RIGAUT CLAUDE,17/04/2014,17/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MENARINI FRANCE,Médecin,JACQUEMIN STEPHANIE,24/04/2014,24/04/2014 - 24/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,JACQUEMIN STEPHANIE,27/03/2014,27/03/2014 - 27/03/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,RIGAUT CLAUDE,20/02/2014,20/02/2014 - 20/02/2014,Autre : Réunion scientifique,,
MSD France,Médecin,RIGAUT CLAUDE,23/01/2014,23/01/2014 -,CONVENTION D’HOSPITALITÉ,,
