AbbVie,Médecin,VAUTHIER PILLET DOMINIQUE,19/02/2014,19/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Association professionnel de santé,ARC ALPIN NEUROLOGIE,26/08/2013,26/08/2013 -,Congrès/symposium,,
ASTRAZENECA,Association professionnel de santé,ASSOCIATION ARC ALPIN NEUROLOGIE - AAN,11/03/2014,03/03/2014 -,Recherche,,
ASTRAZENECA,Médecin,BARO YVES,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BRIVE MICHELE,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,FAVRE CECILE,11/02/2014,11/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PONNELLE POULIN ALICE,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Pharmacien,BUAN DELPHINE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,GATT FRANCOISE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,GONCALVES ALEXIA,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,PINATON VITTOZ BRUNO,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,PRIN BRUNO,19/11/2013,19/11/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,RENE VERONIQUE,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BIOCODEX,Médecin,BRIVE MICHELE,07/11/2013,07/11/2013 - 07/11/2013,FORMATION,,
BIOCODEX,Médecin,PONNELLE POULIN ALICE,07/11/2013,07/11/2013 - 07/11/2013,FORMATION,,
BIOGEN IDEC FRANCE,Association professionnel de santé,ASSOCIATION ARC ALPIN NEUROLOGIE (A.A.N.),19/09/2013,19/09/2013 -,PARRAINAGE,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,SAUTEL CATHERINE,21/11/2013,21/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Autres types de personne morale,GRANDE PHARMACIE DE PERIAZ,31/08/2013,31/08/2013 -,[RECHERCHE],,
BOIRON,Pharmacien,BARRIOUAND BLANDINE,28/11/2013,28/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,CORBETTA DAMIEN,16/06/2014,16/06/2014 -,[FORMATION],,
