A+A,Médecin,GUIBERT MICHEL,02/10/2012,01/10/2012 -,ETUDE DE MARCHE,,
AIR LIQUIDE SANTE (INTERNATIONAL),Fondation,Quo Valis Santé,03/01/2013,03/01/2013 - 03/01/2013,Formation,,
AIR LIQUIDE SANTE (INTERNATIONAL),Fondation,Quo Valis Santé,28/01/2013,28/01/2013 - 28/01/2013,Formation,,
ASPEN FRANCE,Médecin,BEGON BELLET AURELIE,13/06/2014,25/06/2014 - 25/06/2014,Etude,,
ASTELLAS PHARMA,Médecin,BURON FANNY,25/06/2012,25/06/2012 -,CONGRES/SYMPOSIUM,,
ASTRAZENECA,Médecin,BIGLIA JANIN MARIE FRANCE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BIGLIA JANIN MARIE FRANCE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BIGLIA JANIN MARIE FRANCE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CLADIERE LEGER AUDREY,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,FRIZOT MIREILLE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,FRIZOT MIREILLE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,FRIZOT MIREILLE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GOULAY VESSOT NATHALIE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GUIBERT MICHEL,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GUIBERT MICHEL,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LEMONDE STEPHANE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,TINGAUD FLORENCE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,TINGAUD FLORENCE,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,TINGAUD FLORENCE,23/01/2014,23/01/2014 -,Formation,,
Axess Research,Pharmacien,LAURIOL ERIC,05/06/2014,05/06/2014 - 05/06/2014,Autre : ETUDE DE MARCHE,,
