A+A,Médecin,JOUSSET OLIVIER,26/03/2012,23/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,JAGUELIN STEPHANIE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,JAGUELIN STEPHANIE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,SIRE PATRICK,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,SIRE PATRICK,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,SIRE PATRICK,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,SIRE PATRICK,03/10/2013,03/10/2013 -,Formation,,
BIOGARAN,Médecin,LEMELE ISABELLE,05/12/2013,30/11/2013 - 30/09/2014,CONSEIL,,
BIOGARAN,Pharmacien,GRANET GAEL,09/01/2014,01/01/2014 - 31/12/2014,CONSEIL,,
BIOGARAN,Pharmacien,GRANET GAEL,21/03/2012,01/02/2013 - 31/12/2013,CONSEIL,,
BOEHRINGER INGELHEIM FRANCE,Médecin,POIRE GENEVIEVE,22/10/2013,22/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Médecin,DENIS JEAN,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,FLOTTE BERENGERE,18/12/2013,18/12/2013 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,POIRE GENEVIEVE,10/04/2014,10/04/2014 - 10/04/2014,Autre : [hospitalité],,
JANSSEN-CILAG,Médecin,POIRE GENEVIEVE,21/11/2013,21/11/2013 - 21/11/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHEVRIER VERON DELPHINE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JAGUELIN STEPHANIE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JAGUELIN STEPHANIE,17/10/2013,17/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POIRE GENEVIEVE,17/10/2013,17/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POIRE GENEVIEVE,18/02/2014,18/02/2014 - 18/02/2014,Autre : [Convention d'Hospitalité],,
