A+A,Médecin,HAISSAT GERARD,14/11/2013,13/11/2013 -,ETUDE DE MARCHE,,
All Global,Médecin,Haissat Gerard,20/05/2014,20/05/2014 -,[Marketing],,
All Global,Médecin,Haissat Gerard,03/10/2013,03/10/2013 -,[Marketing],,
ASTELLAS PHARMA,Médecin,HAISSAT GERARD,03/07/2013,03/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,KINZIGER CHRISTOPHE,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,KINZIGER CHRISTOPHE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,KINZIGER CHRISTOPHE,07/01/2014,07/01/2014 -,Formation,,
ASTRAZENECA,Médecin,KINZIGER CHRISTOPHE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,KINZIGER CHRISTOPHE,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,KINZIGER CHRISTOPHE,03/10/2013,03/10/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,HECQUET HAMANT VERONIQUE,19/06/2014,19/06/2014 - 19/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUCHER BERNARD,30/11/2013,30/11/2013 - 01/12/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,KINZIGER CHRISTOPHE,19/09/2013,19/09/2013 - 19/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,VERLAINE JEROME,19/09/2013,19/09/2013 - 19/09/2013,Autre : [ hospitalité ],,
FERRING SAS,Infirmier,BESSE SOPHIE,15/05/2014,15/05/2014 - 15/05/2014,Formation,,
FERRING SAS,Infirmier,PIERSON MARIE-DOMINIQUE,15/05/2014,15/05/2014 - 15/05/2014,Formation,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,BEAU THIERRY,09/12/2013,09/12/2013 - 09/12/2013,CONGRES SYMPOSIUM,,
IPSEN PHARMA,Médecin,CIUPEA ADRIAN,28/03/2014,28/03/2014 - 29/03/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Médecin,KINZIGER CHRISTOPHE,22/05/2014,22/05/2014 - 22/05/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Médecin,VERLAINE JEROME,22/05/2014,22/05/2014 - 22/05/2014,CONVENTION D'HOSPITALITE,,
