ASTRAZENECA,Etudiant,MELCHIOR EMILIE,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DESAUGE ERIC,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,DESAUGE ERIC,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DESAUGE ERIC,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DESAUGE ERIC,03/09/2013,03/09/2013 -,Formation,,
ASTRAZENECA,Médecin,DESAUGE ERIC,03/07/2013,03/07/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,VIOLAS DOMINIQUE,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
CHIESI SA,Médecin,DESAUGE ERIC,15/10/2013,15/10/2013 - 15/10/2013,Autre : HOSPITALITE RP,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Médecin,VIOLAS DOMINIQUE,10/04/2014,10/04/2014 - 10/04/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,VIOLAS DOMINIQUE,26/06/2014,26/06/2014 -,REUNION SCIENTIFIQUE,,
LASER,Médecin,VIOLAS DOMINIQUE,06/03/2012,06/03/2012 - 30/04/2014,RECHERCHE,,
LEO Pharma,Médecin,VIOLAS DOMINIQUE,30/03/2013,30/03/2013 - 31/08/2014,Recherche,,
LES LABORATOIRES SERVIER,Médecin,DESAUGE ERIC,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DESAUGE ERIC,21/11/2013,21/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,VIOLAS DOMINIQUE,21/11/2013,21/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,VIOLAS DOMINIQUE,25/03/2014,25/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,VIOLAS DOMINIQUE,26/09/2013,26/09/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,VIOLAS DOMINIQUE,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LUNDBECK SAS,Médecin,VIOLAS DOMINIQUE,27/03/2014,27/03/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
MSD France,Médecin,DESAUGE ERIC,07/06/2012,07/06/2012 -,CONVENTION D HOSPITALITE,,
