A+A,Médecin,TEILHET BERNARD,05/01/2012,05/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MAUREILLE JEAN PAUL,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,REYT GERAUD,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,TEILHET BERNARD,26/09/2013,26/09/2013 -,Formation,,
Axess Research,Médecin,TEILHET BERNARD,26/03/2014,26/03/2014 - 26/03/2014,Autre : ETUDE DE MARCHE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
JANSSEN-CILAG,Médecin,MAUREILLE JEAN PAUL,05/09/2013,05/09/2013 - 05/09/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,TEILHET BERNARD,05/09/2013,05/09/2013 - 05/09/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TEILHET BERNARD,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,PLANCHE BERNARD,14/05/2014,14/05/2014 - 14/05/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,MAUREILLE JEAN-PAUL,22/10/2013,22/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,REYT GERAUD,22/10/2013,22/10/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,LABROUE JEAN FRANCOIS LABROUE JEAN FRANCOIS,30/07/2013,27/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LABROUE JEAN FRANCOIS LABROUE JEAN FRANCOIS,30/07/2013,27/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LABROUE JEAN FRANCOIS LABROUE JEAN FRANCOIS,30/07/2013,27/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,PLANCHE BERNARD PLANCHE BERNARD,07/08/2013,27/08/2013 -,CONTRAT DE PRESTATION DE SERVICE,,
MENARINI FRANCE,Médecin,MAUREILLE JEAN PAUL,17/05/2014,17/05/2014 - 18/05/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,MAUREILLE JEAN PAUL,12/06/2014,12/06/2014 - 12/06/2014,Autre : Réunion scientifique,,
