A+A,Médecin,AAZANI MIMOUN,15/11/2012,14/11/2012 -,ETUDE DE MARCHE,,
ARROW GENERIQUES SAS,Pharmacien,MARTIN FREDERIC,05/06/2013,29/08/2013 -,CONGRES,,
DAIICHI SANKYO FRANCE SAS,Médecin,DERAM REGIS,28/11/2013,28/11/2013 - 28/11/2013,Autre : [ hospitalité ],,
LABORATOIRES CONVATEC,Infirmier,BLERVAQUE CHRISTELLE,03/06/2014,03/06/2014 - 03/06/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,LEIGNEL KARINE,03/06/2014,03/06/2014 - 03/06/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,UNAL MARIE,03/06/2014,03/06/2014 - 03/06/2014,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,DUJARDIN JEAN-JACQUES,21/11/2013,21/11/2013 -,Autre : Intervenant (Orateur/ Modérateur/ Président...),,
SANOFI AVENTIS FRANCE,Médecin,VERNEUIL NATHALIE,14/11/2013,14/11/2013 - 14/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,VERNEUIL NATHALIE,17/12/2013,17/12/2013 - 17/12/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LEROY,11/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MARTIN,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,DERAM BRAZIER MARTINE,20/11/2013,20/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Pharmacien,DERAM BRAZIER MARTINE,28/11/2013,28/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Pharmacien,DERAM BRAZIER MARTINE,07/03/2014,07/03/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Pharmacien,DERAM BRAZIER MARTINE,10/05/2014,10/05/2014 -,AUTRE: [ETUDE DE MARCHE],,
