A+A,Médecin,CARRIER MARCEL,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,ANDRIEUX DEGUINGAND SYLVIE,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CARRIER MARCEL,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,CARRIER MARCEL,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CARRIER MARCEL,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FONTAINE XAVIER,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,FONTAINE XAVIER,10/07/2013,10/07/2013 -,Formation,,
ASTRAZENECA,Médecin,FONTAINE XAVIER,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FONTAINE XAVIER,22/01/2014,22/01/2014 -,Formation,,
ASTRAZENECA,Médecin,FONTAINE XAVIER,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FONTAINE XAVIER,18/02/2014,18/02/2014 -,Formation,,
ASTRAZENECA,Médecin,FONTAINE XAVIER,23/10/2013,23/10/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,FONTAINE XAVIER,26/03/2014,26/03/2014 - 26/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FONTAINE XAVIER,29/01/2014,29/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FONTAINE XAVIER,13/11/2013,13/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,BEAUBATIE-MARTIN MARTINE,07/04/2014,07/04/2014 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE XAVIER,28/01/2014,28/01/2014 - 28/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE XAVIER,01/04/2014,01/04/2014 - 01/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE XAVIER,18/12/2013,18/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,DE LA HAYE ST HILAIRE AGNES,16/04/2014,16/04/2014 - 16/04/2014,Autre : [Convention d'Hospitalité],,
