B3TSI,Médecin,BACCONNIER LUDOVIC,02/06/2014,02/06/2014 -,autre : enquête téléphonique,,
BOIRON,Autres types de personne morale,PHARMACIE DE LA BEAUME,11/09/2013,11/09/2013 -,[RECHERCHE],,
BOIRON,Autres types de personne morale,PHARMACIE PRINCIPALE,30/07/2013,30/07/2013 -,[RECHERCHE],,
LOL PHARMA,Pharmacien,SEON GARDIOL CHRISTINE SEON GARDIOL CHRISTINE,07/03/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
Median Conseil,Pharmacien,Gilles Philippe,28/06/2013,28/06/2013 - 28/06/2013,INTERVIEW,,
SANOFI AVENTIS FRANCE,Médecin,APOSTOL GELU,20/01/2014,20/01/2014 - 20/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,CAMBUZAT BENOIT,20/01/2014,20/01/2014 - 20/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,LAMBEY CECILE,20/01/2014,20/01/2014 - 20/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MILLE JEAN FRANCOIS,20/01/2014,20/01/2014 - 20/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,SELEM JULIEN,20/01/2014,20/01/2014 - 20/01/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA BEAUME / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA BEAUME / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA BEAUME / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA BEAUME / SNC,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GILLES / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GILLES / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GILLES / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GILLES / SNC,01/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
