A+A,Médecin,BABILOTTE CLAUDE,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BABILOTTE CLAUDE,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BABILOTTE CLAUDE,06/05/2014,06/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BABILOTTE CLAUDE,02/10/2013,02/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CARION FABRICE,06/05/2014,06/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CARION FABRICE,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CARION FABRICE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,FOUQUET FRANCOIS,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,FOUQUET FRANCOIS,02/04/2014,02/04/2014 -,Formation,,
ASTRAZENECA,Médecin,FOUQUET FRANCOIS,04/07/2013,04/07/2013 -,Formation,,
ASTRAZENECA,Médecin,FOUQUET FRANCOIS,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HEBRANT JEAN FRANCOIS,02/10/2013,02/10/2013 -,Formation,,
ASTRAZENECA,Médecin,HEBRANT JEAN FRANCOIS,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HEBRANT JEAN FRANCOIS,06/05/2014,06/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SALZARD PHILIPPE,06/05/2014,06/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SALZARD PHILIPPE,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,SALZARD PHILIPPE,02/10/2013,02/10/2013 -,Formation,,
BOIRON,Médecin,FOUQUET FRANCOIS,05/12/2013,05/12/2013 -,[RECHERCHE],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LA TOUR PHIE DE LA TOUR,21/03/2014,08/04/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LA TOUR PHIE DE LA TOUR,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
