ASPIDE MEDICAL,Autres types de personne morale,GENERATION ESTHETIQUE,30/10/2013,23/11/2013 - 23/11/2013,AUTRE:[STAND],,
Bayer HealthCare SAS,Association professionnel de santé,A R M D,23/04/2014,20/09/2014 - 21/09/2014,Autre :Contrat de location de stand,,
Bayer HealthCare SAS,Médecin,BISROR GERARD,26/03/2014,26/03/2014 - 26/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SACCO CLAUDE,17/10/2013,17/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SACCO CLAUDE,12/09/2013,12/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,PHILIP MARIE CLAUDE,03/10/2013,03/10/2013 - 03/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PHILIP MARIE CLAUDE,26/06/2014,26/06/2014 - 26/06/2014,Autre : HOSPITALITE RP,,
CROMA,Association professionnel de santé,Association de Rétine Méditerranéenne et Développement,12/09/2013,21/09/2013 - 21/09/2013,Congrès,,
DAIICHI SANKYO FRANCE SAS,Médecin,CAPELLO JEAN CHRISTIAN,23/01/2014,23/01/2014 - 23/01/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,LAMPONI MONICA,20/05/2014,20/05/2014 - 20/05/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,LE HOANG BA PATRICK,23/01/2014,23/01/2014 - 23/01/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,SOUBEIRAN ERIC,23/01/2014,23/01/2014 - 23/01/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,THIBAUD BERNARD,23/01/2014,23/01/2014 - 23/01/2014,Autre : [hospitalité],,
galderma international,Médecin,BOUVEROT MICHEL,17/04/2014,17/04/2014 - 17/04/2014,Autre,,
galderma international,Médecin,BOUVEROT MICHEL,24/04/2014,24/04/2014 - 24/04/2014,Autre,,
JANSSEN-CILAG,Médecin,BOUVEROT MICHEL,26/09/2013,26/09/2013 - 26/09/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAPELLO JEAN CHRISTIAN,10/12/2013,10/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CROUZILHAC ROBERT,10/12/2013,10/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOUVRY JACQUES,10/12/2013,10/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE HOANG BA PATRICK,10/12/2013,10/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
