3M France,Chirurgien-dentiste,GARDE CHRISTIAN,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
A+A,Médecin,BALAYE BRUNO,27/12/2013,26/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BONNET VINCENT,11/03/2013,07/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BONNET VINCENT,09/01/2013,08/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BONNET VINCENT,28/10/2013,28/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BONNET VINCENT,20/01/2012,19/01/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,COLSON DIDIER,11/10/2013,10/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DEWEERDT ERIC,29/01/2013,29/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,NADRIGNY MICHEL,20/12/2013,18/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,PLATTEAUX CECILE,09/04/2013,08/04/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,RICOME JEAN LOUIS,14/11/2013,13/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SARI REMI,06/12/2012,06/12/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,SOULE DE LAFONT ERIC,10/10/2013,10/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SOULE DE LAFONT ERIC,01/03/2012,29/02/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,SROUR MARTINE,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,SROUR MARTINE,10/04/2012,10/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,SROUR MARTINE,02/07/2012,02/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,TEXEREAU ANNE,06/06/2012,06/06/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,DURAND LABRUNIE .,10/02/2014,10/02/2014 -,ETUDE DE MARCHE,,
AbbVie,Médecin,MARREQUESTE CLAUDE,17/12/2013,17/12/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
