DAIICHI SANKYO FRANCE SAS,Médecin,BERTONI JOEL,03/10/2013,03/10/2013 - 03/10/2013,Autre : [ hospitalité ],,
Laboratoires Grünenthal SAS,Médecin,BERTONI JOEL,26/06/2014,26/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,POLIA FREDERIC,26/06/2014,26/06/2014 -,REUNION SCIENTIFIQUE,,
Lilly France SAS,Médecin,BERTONI JOEL,17/12/2013,17/12/2013 - 17/12/2013,INVITATION,,
MENARINI FRANCE,Médecin,BERTONI JOEL,24/01/2014,24/01/2014 - 24/01/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,DAMUSEAU BRUNO,24/01/2014,24/01/2014 - 24/01/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,DECHELETTE THIERRY,24/01/2014,24/01/2014 - 24/01/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,MATHE DOMINIQUE,24/01/2014,24/01/2014 - 24/01/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,POLIA FREDERIC,24/01/2014,24/01/2014 - 24/01/2014,Autre : Réunion scientifique,,
MSD France,Médecin,DECHELETTE THIERRY,22/05/2014,22/05/2014 -,CONVENTION D’HOSPITALITÉ,,
NOVO NORDISK,Médecin,BERTONI JOEL,27/03/2014,27/03/2014 -,HOSPITALITE,,
NOVO NORDISK,Médecin,MATHE DOMINIQUE,27/03/2014,27/03/2014 -,HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,BERTONI JOEL,10/04/2014,10/04/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,POLIA FREDERIC,10/04/2014,10/04/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,POLIA FREDERIC,03/06/2014,03/06/2014 -,CONVENTION D'HOSPITALITE,,
RESMED SAS,Médecin,BERTONI JOEL,19/12/2013,19/12/2013 - 19/12/2013,Formation,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BURNICHON,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BURNICHON,14/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BURNICHON,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,PINCHON CLAUDE,18/10/2013,18/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
