A+A,Médecin,DE GEYER EVEN,25/07/2013,24/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GAILLARD LAURENCE,12/06/2014,12/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LABOURET DENIS,17/06/2014,17/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LABOURET DENIS,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LABOURET DENIS,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MALOUINES DOMINIQUE,20/05/2014,20/05/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,MULLER CLAUDE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Médecin,LADEN BRIGITTE,19/02/2014,19/02/2014 -,[FORMATION],,
BOIRON,Médecin,LADEN BRIGITTE,02/10/2013,02/10/2013 -,[FORMATION],,
BOIRON,Médecin,LADEN BRIGITTE,04/12/2013,04/12/2013 -,[FORMATION],,
BOIRON,Médecin,LADEN BRIGITTE,14/05/2014,14/05/2014 -,[FORMATION],,
EFFIK,Médecin,MULLER CLAUDE,30/01/2014,30/01/2014 - 30/01/2014,HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GAILLARD LAURENCE,11/12/2013,11/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOL CHRISTELLE,21/09/2013,21/09/2013 - 21/09/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,DE GEYER D'ORTH EVEN,10/04/2014,10/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
Lilly France SAS,Médecin,ALLANORE PATRICE,19/02/2014,19/02/2014 - 19/02/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
LUNDBECK SAS,Médecin,LABOURET DENIS,05/10/2013,05/10/2013 -,AUTRE : CONGRES / SYMPOSIUM,,
MSD France,Médecin,LADEN BRIGITTE,25/06/2013,25/06/2013 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LADEN BRIGITTE,25/06/2013,25/06/2013 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LE FAUCHEUR JEAN,02/07/2013,02/07/2013 -,CONVENTION D HOSPITALITE,,
