ASTRAZENECA,Médecin,LAVOUE PHILIPPE,27/03/2014,27/03/2014 -,Formation,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,21/11/2013,14/11/2013 - 30/11/2013,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,22/05/2014,03/03/2014 - 30/06/2014,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,17/02/2014,03/02/2014 - 21/02/2014,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,10/12/2013,27/11/2013 - 20/12/2013,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,12/12/2013,28/11/2013 - 31/12/2013,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,05/11/2013,16/10/2013 - 05/11/2013,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,17/02/2014,04/02/2014 - 17/02/2014,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,20/02/2014,31/01/2014 - 27/02/2014,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,05/11/2013,24/10/2013 - 30/11/2013,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,29/11/2013,27/11/2013 - 10/12/2013,MARKETING,,
IPSEN PHARMA,Etablissement de santé,B-EST AGENCE COMMUNICATION,17/02/2014,31/01/2014 - 27/02/2014,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVOUE PHILIPPE,21/01/2014,21/01/2014 - 21/01/2014,Autre : [Convention d'Hospitalité],,
PFIZER SAS,Autres types de personne morale,B-EST,30/07/2013,30/07/2013 -,PUBLICITE,,
PFIZER SAS,Autres types de personne morale,B-EST,19/07/2013,02/08/2013 -,PUBLICITE,,
PFIZER SAS,Autres types de personne morale,B-EST,19/07/2013,02/08/2013 -,PUBLICITE,,
PFIZER SAS,Autres types de personne morale,B-EST,20/08/2013,20/08/2013 -,PUBLICITE,,
PFIZER SAS,Autres types de personne morale,B-EST,07/03/2013,15/03/2013 -,PUBLICITE,,
PFIZER SAS,Autres types de personne morale,B-EST,20/08/2013,30/07/2013 -,PUBLICITE,,
PFIZER SAS,Autres types de personne morale,B-EST,06/03/2013,06/03/2013 -,PUBLICITE,,
