A+A,Médecin,DOMART JEAN LOUIS,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LAMBOURG JEAN PAUL,18/12/2013,18/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LAMBOURG JEAN PAUL,26/11/2013,26/11/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAMBOURG JEAN PAUL,14/11/2013,14/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,LAMBOURG Jean paul,30/01/2014,30/01/2014 -,Conseil Relations professionnelles,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,BOUGRIER AURELIE,30/01/2014,30/01/2014 -,Conseil Relations professionnelles,,
MENARINI FRANCE,Médecin,LAMBOURG JEAN PAUL,17/04/2014,17/04/2014 - 17/04/2014,Autre : Réunion scientifique,,
MSD France,Infirmier,BRIET AUDE,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DOMART JEAN LOUIS,15/11/2012,15/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DOMART JEAN LOUIS,30/05/2013,30/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DOMART JEAN LOUIS,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAMBOURG JEAN PAUL,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAMBOURG JEAN PAUL,15/11/2012,15/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LAMBOURG JEAN PAUL,30/05/2013,30/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,BOUGRIER AURELIE,15/11/2012,15/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,POMMIER SOPHIE,29/01/2014,29/01/2014 -,RECHERCHE BIOMÉDICALE,,
MUNDIPHARMA,Médecin,LAMBOURG JEAN PAUL,13/02/2013,13/02/2013 - 13/02/2013,AUTRE : CONVENTION D'HOSPITALITE,,
