LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GUILLOT VALERIE,20/12/2013,20/12/2013 - 20/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
MSD France,Etablissement de santé,PHARMACIE DU VAL DUNOIS,21/06/2013,21/06/2013 -,EXPERT,,
MSD France,Médecin,BLEROT FRANCIS,03/10/2013,03/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BLEROT FRANCIS,10/05/2012,10/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BLEROT FRANCIS,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
NOVO NORDISK,Médecin,BLEROT FRANCIS,27/05/2014,27/05/2014 -,HOSPITALITE,,
PFIZER SAS,Médecin,BLEROT FRANCIS,20/02/2014,20/02/2014 - 20/02/2014,HOSPITALITE RP/CONGRES / SYMPO,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU VAL DUNOIS / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU VAL DUNOIS / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU VAL DUNOIS / SNC,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU VAL DUNOIS / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
