3M France,Chirurgien-dentiste,DELEZENNE CHARLOTTE,30/01/2014,30/01/2014 -,FORMATION,,
A+A,Médecin,COLPAERT ANDRE,07/03/2012,06/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DE LATTRE PHILIPPE,17/02/2012,17/02/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DE LATTRE PHILIPPE,07/02/2013,07/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DOBRENEL DANIEL,26/06/2012,25/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,GINTERDEAELE SAMUEL,22/02/2012,22/02/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,KIAEI ALIREZA,12/03/2012,12/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,LAMBLIN MARTIN,06/04/2012,05/04/2012 -,ETUDE DE MARCHE,,
ASTELLAS PHARMA,Association professionnel de santé,ASSOCIATION POUR LE DEVELOPPEMENT DE LA BIOLOGIE HOSPITALIERE ROUBAISIENNE (ADBHR),01/04/2014,01/04/2014 - 31/07/2015,RECHERCHE,,
ASTELLAS PHARMA,Association professionnel de santé,ASSOCIATION POUR LE DEVELOPPEMENT DE LA BIOLOGIE HOSPITALIERE ROUBAISIENNE (ADBHR),14/04/2014,14/04/2014 - 31/07/2015,RECHERCHE,,
ASTELLAS PHARMA,Médecin,DELCROIX PHILIPPE,03/07/2013,03/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,AREVALO MARION,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,AREVALO MARION,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BURETTE PIERRE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DE LATTRE PHILIPPE,04/03/2014,04/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUGARDIN ANNE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GINTERDAELE SAMUEL,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,PLOUVIER ANTOINE,04/03/2014,04/03/2014 -,Formation,,
ASTRAZENECA,Pharmacien,DELEU ANNE CECILE,08/04/2014,08/04/2014 -,Formation,,
B3TSI,Médecin,DELESALLE PIERRE HENRI,24/06/2014,24/06/2014 -,autre : enquête téléphonique,,
