A+A,Pharmacien,RITZENTHALER GERBER MARIE,22/02/2012,20/02/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,ARBEIT DIETSCHY SABINE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ARBEIT DIETSCHY SABINE,16/09/2013,16/09/2013 -,Formation,,
ASTRAZENECA,Médecin,ARBEIT DIETSCHY SABINE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ARBEIT DIETSCHY SABINE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,FUCHS RAYMOND,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FUCHS RAYMOND,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,KIELWASSER CHRISTIAN,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,KIELWASSER CHRISTIAN,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,KIELWASSER CHRISTIAN,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,KIELWASSER CHRISTIAN,16/09/2013,16/09/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DANGEL ALAIN,04/06/2014,04/06/2014 - 04/06/2014,Autre : [Convention d'Hospitalité],,
MSD France,Médecin,BENDER THIERRY,04/04/2012,04/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,KETTERLIN DIDIER,04/04/2012,04/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MARZOLF YVES,04/04/2012,04/04/2012 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,HASSLER DANIEL,03/07/2013,03/07/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,KIELWASSER CHRISTIAN,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
SANOFI PASTEUR MSD SNC,Médecin,ARBEIT DIETSCHY SABINE,19/02/2014,19/02/2014 -,Autre : [RP],,
SANOFI PASTEUR MSD SNC,Médecin,KIELWASSER CHRISTIAN,19/02/2014,19/02/2014 -,Autre : [RP],,
WorldOne Group B.V.,Chirurgien-dentiste,AUWERA ALINE,05/06/2014,05/06/2014 -,AUTRE: [ETUDE DE MARCHE],,
