A+A,Médecin,LESTIENNE JACQUES MARIE,11/10/2013,09/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,LESTIENNE JACQUES MARIE,11/10/2013,11/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,LESTIENNE JACQUES MARIE,18/12/2013,17/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MAHMOUDI NADIA,03/04/2014,03/04/2014 -,Congrès/ Symposium,,
Bayer HealthCare SAS,Médecin,HAMADANI KAMAL,10/10/2013,10/10/2013 - 10/10/2013,AUTRE : MANIFESTATION DE PROMOTION,,
LES LABORATOIRES SERVIER,Médecin,CALAMY FRANCOIS,06/02/2014,06/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MSD France,Médecin,MAZOUNI ABDELMADJID,05/09/2013,05/09/2013 -,CONVENTION D HOSPITALITE,,
NOVO NORDISK,Médecin,DAMI MOUNA,31/03/2014,31/03/2014 -,HOSPITALITE,,
PASCALEO,Médecin,LESTIENNE JACQUES MARIE,25/06/2014,25/06/2014 -,AUTRE,,
UCB Pharma SA,Médecin,LOUMI FAYCAL,17/06/2014,17/06/2014 - 17/06/2014,Autre : [ hospitalité liée à une manifestation scientifique ],,
