A+A,Médecin,EVELLIN FREDERIC,29/03/2012,29/03/2012 -,ETUDE DE MARCHE,,
ASTELLAS PHARMA,Fondation,YDEALIS,16/04/2013,16/04/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,BOUVET ERIC,04/06/2014,04/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BOUVET ERIC,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Pharmacien,BOTTOU RACHEL,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,DE GAALON DANIELE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,DE GAALON DANIELLE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,DE GAALON LOIC,26/11/2013,26/11/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUVET ERIC,22/11/2013,22/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES CONVATEC,Infirmier,GUINARD BRIGITTE,20/03/2014,20/03/2014 - 20/03/2014,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,BOUVET ERIC,28/01/2014,28/01/2014 -,Autre : Manifestation scientifique,,
MSD France,Médecin,BOUVET ERIC,10/02/2012,10/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BOUVET ERIC,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BOUVET ERIC,30/05/2013,30/05/2013 - 01/06/2013,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DAYOT PIERRE YVES,10/02/2012,10/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,EVELLIN FREDERICK,05/07/2012,05/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LE MAGOUROU ALAIN,10/02/2012,10/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LE MAGOUROU MARIE FRANCOISE,10/02/2012,10/02/2012 -,CONVENTION D HOSPITALITE,,
NOVO NORDISK,Médecin,BOUVET ERIC,24/05/2014,24/05/2014 -,HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Pédicure-podologue,DEGARABY MATTHIEU,18/04/2014,18/04/2014 -,CONVENTION D'HOSPITALITE,,
