A+A,Médecin,LAGORCE XAVIER,10/04/2013,09/04/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LAGORCE XAVIER,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LAGORCE XAVIER,13/05/2014,13/05/2014 -,Formation,,
CHIESI SA,Médecin,LAGORCE XAVIER,26/11/2013,26/11/2013 - 26/11/2013,Autre : HOSPITALITE RP,,
EXAFIELD,Pharmacien,DES 3 VALLEES DES 3 VALLEES,01/01/2014,01/01/2014 -,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONET AGUSTI MARIA MERCE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGORCE XAVIER,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIMBAULT SANCHEZ CORINNE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GARRABE JULIEN,07/03/2014,07/03/2014 - 06/09/2014,AUTRE : Recherche épidémiologique,,
LVL MEDICAL SUD,Infirmier,BARUS BRIGITTE,28/04/2014,28/04/2014 - 17/06/2014,CONGRES SYMPOSIUM,,
MSD France,Médecin,DOMENECH JAUME,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DOMENECH JAUME,10/10/2013,10/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAGORCE XAVIER,27/05/2014,27/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAGORCE XAVIER,25/03/2014,25/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAGORCE XAVIER,04/02/2014,04/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAGORCE XAVIER,04/07/2013,04/07/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAGORCE XAVIER,26/02/2014,26/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAGORCE XAVIER,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,RIMBAULT SANCHEZ CORINNE,27/05/2014,27/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,GARRABE JULIEN,25/10/2012,25/10/2012 -,CONVENTION D HOSPITALITE,,
