BOEHRINGER INGELHEIM FRANCE,Médecin,DUREAU JEROME,10/10/2013,10/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Médecin,BARRERO LONGEAUD ANNE MARIE,12/12/2013,12/12/2013 - 13/12/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DUREAU JEROME,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DUREAU JEROME,12/12/2013,12/12/2013 - 13/12/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,KHEDARA CHAOUKI,17/12/2013,17/12/2013 - 17/12/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,LONGEAUD MICHEL,12/12/2013,12/12/2013 - 13/12/2013,Autre : [ hospitalité ],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BEYSSAC - CHARPENTIER ,01/01/2014,01/01/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARRERO LONGEAUD ANNE MARIE,13/02/2014,13/02/2014 - 13/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARRERO LONGEAUD ANNE MARIE,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESCOUT MICHEL,12/06/2014,12/06/2014 - 12/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESCOUT MICHEL,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESCOUT PAPAZOGLOU CATHERINE,27/01/2012,27/01/2012 -,Autre : [Convention d hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESCOUT PAPAZOGLOU CATHERINE,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESCOUT PAPAZOGLOU CATHERINE,10/02/2014,10/02/2014 - 10/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUREAU JEROME,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUREAU JEROME,13/02/2014,13/02/2014 - 13/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGEAUD MICHEL,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGEAUD MICHEL,13/02/2014,13/02/2014 - 13/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAPAZOGLOU-DESCOUT CATHERINE,04/01/2014,31/01/2014 - 01/02/2014,CONGRES / SYMPOSIUM,,
LABORATOIRES COLOPLAST,Pharmacien,MERIOT CECILE,13/02/2014,13/02/2014 -,Autre : convention d'hospitalité,,
