A+A,Pharmacien,FOURNEL DIDIER,03/05/2013,30/04/2013 -,ETUDE DE MARCHE,,
BOIRON,Médecin,PFLIEGER GROS FRANCOISE,25/03/2014,25/03/2014 -,[FORMATION],,
BOIRON,Médecin,PFLIEGER GROS FRANCOISE,24/09/2013,24/09/2013 -,[FORMATION],,
BOIRON,Médecin,PFLIEGER GROS FRANCOISE,03/06/2014,03/06/2014 -,[FORMATION],,
MUNDIPHARMA,Médecin,COUPIER CHRISTIAN,17/01/2013,17/01/2013 - 17/01/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,PANZUTI YVES,17/01/2013,17/01/2013 - 17/01/2013,AUTRE : CONVENTION D'HOSPITALITE,,
SANDOZ,Pharmacien,BARRAS FLORENCE,17/04/2014,17/04/2014 - 17/04/2014,CONGRÈS / SYMPOSIUM/ RP,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CATALA,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CATALA,07/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CATALA,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CATALA,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
Weleda S.A.,Médecin,PFLIEGER-GROS Françoise,11/04/2014,11/04/2014 - 11/04/2014,Autre : Hospitalité,,
