A+A,Médecin,KERNEC JEAN,12/04/2013,12/04/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BENOIT ROLLAND FABIENNE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BREAU JEAN YVES,03/07/2013,03/07/2013 -,Formation,,
ASTRAZENECA,Médecin,DELATTE MARIN LUCIE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,GUILLOUET BRUNO,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,KERNEC JEAN,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LAMOUR RAOUL ANNE MARIE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LAURENT CECILE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LE FLOCH ERIC,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MOREAU BRULON JULIE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PIGEON CATHERINE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,QUIBOEUF GILLES,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,THUILLIER HELENE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VASLIER JEAN CLAUDE,13/12/2013,13/12/2013 -,Formation,,
B3TSI,Médecin,VASLIER JEAN CLAUDE,23/10/2013,23/10/2013 -,Autre : Mise en situation des DM,,
Bayer HealthCare SAS,Médecin,BREAU JEAN YVES,25/03/2014,25/03/2014 - 25/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,VUONG MANH HUNG,22/04/2014,22/04/2014 - 22/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,VUONG MANH HUNG,25/03/2014,25/03/2014 - 25/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DELATTE MARIN LUCIE,13/05/2014,13/05/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,RIVIER NICOLE,25/04/2014,25/04/2014 -,[FORMATION],,
