3M France,Chirurgien-dentiste,LAURENT OLIVIER,17/04/2014,17/04/2014 - 17/04/2014,FORMATION,,
A+A,Médecin,CHAMBOST LAURENT,02/08/2012,02/08/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,CHAMBOST LAURENT,16/01/2013,16/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,CHAMBOST LAURENT,30/07/2012,30/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,CLEMENT DENISE,23/07/2013,19/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DIADEMA BERNARD,06/02/2013,06/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DIADEMA BERNARD,12/03/2012,12/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MAEDER JEAN JACQUES,27/11/2012,27/11/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MANAPANY VOGELIN MIREILLE,23/05/2012,22/05/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MANAPANY VOGELIN MIREILLE,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MARSOUBIAN LILIT,23/05/2012,22/05/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MESSIN OLIVIER,27/04/2012,26/04/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,FOURQUET FLORENCE,09/04/2014,09/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ALLERGAN FRANCE,Médecin,FOURQUET FLORENCE,02/04/2014,20/05/2014 - 31/12/2014,AUTRE,,
ASTRAZENECA,Fondation,KMACOM.ORGANISATION,30/08/2013,30/08/2013 -,Congrès/symposium,,
ASTRAZENECA,Médecin,BENYCHOU BLANCHARD MICHELE,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHAMBOST LAURENT,18/02/2014,18/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CHAMBOST LAURENT,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CLEMENT DENISE,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CLEMENT DENISE,08/04/2014,08/04/2014 -,Formation,,
