ASTELLAS PHARMA,Médecin,SAINT FABIEN,16/03/2012,16/03/2012 -,CONGRES/SYMPOSIUM,,
ASTRAZENECA,Médecin,DEMAILLY PATRICE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,DEQUIDT MARINA,20/11/2013,20/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DEQUIDT MARINA,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DEQUIDT MARINA,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,NOUGEIN PATRICE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,NOUGEIN PATRICE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PELTIER MARIE CHARLOTTE,20/11/2013,20/11/2013 -,Formation,,
IMS HEALTH SAS,Médecin,DEMAILLY Patrice,02/01/2013,02/01/2013 -,autre : Etude observationnelle,,
Laboratoires Grünenthal SAS,Médecin,NOUGEIN PATRICE,21/11/2013,21/11/2013 -,AUTRE,,
LOL PHARMA,Pharmacien,ROUCOUX MARTINE ROUCOUX MARTINE,05/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,ROUCOUX MARTINE ROUCOUX MARTINE,05/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,DEMAILLY PATRICE,30/06/2013,13/12/2012 -,RECHERCHE BIOMEDICALE,,
MSD France,Médecin,GUERET PIERRE,19/03/2013,19/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MUNDIPHARMA,Médecin,PELTIER MARIE CHARLOTTE,04/10/2013,04/10/2013 -,FORMATION,,
PFIZER SAS,Médecin,NOUGEIN PATRICE,16/05/2014,16/05/2014 - 16/05/2014,HOSPITALITE RP/CONGRES/SYMPO,,
PIERRE FABRE MEDICAMENT,Médecin,DEQUIDT MARINA,25/04/2014,25/04/2014 -,CONVENTION D'HOSPITALITE,,
