A+A,Médecin,LEONETTI MICHEL,28/12/2012,28/12/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GIRARDOT PIERRE MARIE,13/09/2013,13/09/2013 -,Congrès/Symposium,,
ASTRAZENECA,Médecin,GIRARDOT PIERRE MARIE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LE CORRE PASCALE,26/06/2014,26/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LEFEBVRE OLIVIER,04/06/2014,04/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LE MARCHAND LADAK PARVEEN,10/04/2014,10/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,BERTHO ALAIN,17/12/2013,17/12/2013 - 17/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LE CORRE PASCALE,15/05/2014,15/05/2014 - 15/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LE CORRE PASCALE,18/12/2013,18/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TISSEAU LAURENT,17/04/2014,17/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Sage-femme,DECAMPS KRISTELL,06/12/2013,06/12/2013 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,BERTHO ALAIN,24/04/2014,24/04/2014 - 25/04/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,BERTHO ALAIN,16/01/2013,16/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
DAIICHI SANKYO FRANCE SAS,Médecin,LE CORRE PASCALE,24/04/2014,24/04/2014 - 25/04/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,LE CORRE PASCALE,28/11/2013,28/11/2013 - 28/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,LEONETTI MICHEL,24/04/2014,24/04/2014 - 25/04/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,LEONETTI MICHEL,28/11/2013,28/11/2013 - 28/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,MINON BULARD ARMELLE,24/04/2014,24/04/2014 - 25/04/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,MINON BULARD ARMELLE,28/11/2013,28/11/2013 - 28/11/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,MIGNARD JEAN PIERRE,08/11/2013,05/12/2013 - 05/12/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
