CHIESI SA,Médecin,DEDIEU PASCALE,06/02/2014,06/02/2014 - 06/02/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,DEDIEU PASCALE,03/09/2013,03/09/2013 - 03/09/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEDIEU PASCALE,19/11/2013,19/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEDIEU PASCALE,29/04/2014,29/04/2014 - 29/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEDIEU PASCALE,04/03/2014,04/03/2014 - 04/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MESRINE NATACHA,01/04/2014,01/04/2014 - 01/04/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Expanscience,Médecin,DEDIEU PASCALE,27/05/2014,27/05/2014 - 27/05/2014,Formation,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DEDIEU PASCALE,20/05/2014,20/05/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,03/10/2013,03/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,08/10/2013,08/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,15/10/2013,15/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,17/10/2013,17/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,05/11/2013,05/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,14/11/2013,14/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,26/03/2014,26/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,25/03/2014,25/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,18/02/2014,18/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,14/05/2014,14/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DEDIEU PASCALE,06/05/2014,06/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MENARINI FRANCE,Médecin,DEDIEU PASCALE,25/02/2014,25/02/2014 - 25/02/2014,Autre : Réunion scientifique,,
