A+A,Médecin,MORIN JEAN YVES,02/01/2013,02/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CANUEL VALERIE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LADUNE ANNE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LADUNE ANNE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LADUNE ANNE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MARIE JACKY,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MARIE JACKY,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MARIE JACKY,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MORIN JEAN YVES,03/04/2014,03/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,MARIE JACKY,21/03/2013,21/03/2013 - 22/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,MORIN JEAN YVES,21/03/2013,21/03/2013 - 22/03/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARIE JACKY,19/11/2013,19/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CANUEL VALERIE,28/02/2014,28/02/2014 - 28/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CANUEL VALERIE,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LADUNE ANNE,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARIE JACKY,28/02/2014,28/02/2014 - 28/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARIE JACKY,26/09/2013,26/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARIE JACKY,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORIN JEAN YVES,29/10/2013,29/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORIN JEAN YVES,28/02/2014,28/02/2014 - 28/02/2014,Autre : [Convention d'Hospitalité],,
