Asept InMed,Association usager de santé,La vie par un fil,25/11/2013,01/11/2013 - 31/12/2014,Soutien technique et financier,,
ASTRAZENECA,Médecin,PARIS MONIQUE,20/02/2014,20/02/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,GOILLANDEAU JEAN PIERRE,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
IPSEN PHARMA,Médecin,GOILLANDEAU JEAN PIERRE,01/04/2014,01/04/2014 - 01/04/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Médecin,PHILIPPE RONAN,15/04/2014,15/04/2014 - 15/04/2014,CONVENTION D'HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PARIS MONIQUE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PARIS MONIQUE,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,GOILLANDEAU JEAN PIERRE,14/11/2013,14/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,GOILLANDEAU JEAN PIERRE,04/07/2013,04/07/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,GOILLANDEAU JEAN PIERRE,26/06/2014,26/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
Lilly France SAS,Médecin,GOILLANDEAU JEAN PIERRE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
LOL PHARMA,Pharmacien,TURQUET DE BEAUREGARD ALAIN TURQUET DE BEAUREGARD ALAIN,24/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,GOILLANDEAU JEAN PIERRE,27/06/2012,27/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GOILLANDEAU JEAN PIERRE,12/04/2012,12/04/2012 -,CONVENTION D HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,GOILLANDEAU JEAN PIERRE,11/07/2013,11/07/2013 - 11/07/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,PARIS MONIQUE,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Réunion],,
TEVA SANTE SAS,Médecin,PARIS MONIQUE,26/06/2014,26/06/2014 - 26/06/2014,HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE - CONGRES/SYMPOSIUM,,
