A+A,Médecin,MARCHANT PHILIPPE,28/12/2012,28/12/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,PSZOTA ADRIAN,11/02/2014,11/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PSZOTA ADRIAN,19/11/2013,19/11/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PSZOTA ADRIAN,27/11/2013,27/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Lilly France SAS,Médecin,MARCHANT PHILIPPE,05/11/2013,05/11/2013 - 05/11/2013,INVITATION,,
MENARINI FRANCE,Médecin,PSZOTA ADRIAN,28/03/2014,28/03/2014 - 28/03/2014,Autre : Réunion scientifique,,
MSD France,Médecin,BETHEMBOS CHARLES EDOUARD,17/06/2014,17/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARCHANT PHILIPPE,17/06/2014,17/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PSZOTA ADRIAN,17/06/2014,17/06/2014 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MARTIN,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MARTIN,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MARTIN,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MARTIN,07/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
