A+A,Médecin,RICHARD PINET AGNES,15/11/2012,14/11/2012 -,ETUDE DE MARCHE,,
ABBOTT FRANCE,Médecin,CAVILLON ALAIN,27/04/2014,28/04/2014 - 29/04/2014,FORMATION,,
AbbVie,Médecin,DESBAZEILLE FRANCOIS,03/10/2013,03/10/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AMGEN SAS,Médecin,HADDAD LEKHAL SALIHA,05/12/2013,12/12/2013 - 13/12/2013,AUTRE [CONVENTION D HOSPITALITE],,
ARCHIMEDES PHARMA France,Médecin,SEDRATI ABDESLEM,20/03/2014,26/06/2014 - 28/06/2014,Autre : MASCC 2014,,
ASPIDE MEDICAL,Infirmier,DE DREUILLE HERVINE,24/06/2014,18/09/2014 - 19/09/2014,FORMATION,,
ASPIDE MEDICAL,Infirmier,HOANG HELENE,24/06/2014,18/09/2014 - 19/09/2014,FORMATION,,
ASPIDE MEDICAL,Médecin,PEREIRA HELDER,25/06/2014,02/09/2014 - 01/10/2014,AUTRE : [COMMUNICATION],,
ASPIDE MEDICAL,Médecin,PREZELIN YOHANN,25/06/2014,02/09/2014 - 01/10/2014,AUTRE : [COMMUNICATION],,
ASPIDE MEDICAL,Médecin,ROSSIGNOL DANIEL,25/06/2014,02/09/2014 - 01/10/2014,AUTRE : [COMMUNICATION],,
ASPIDE MEDICAL,Médecin,TISSERAND BAPTISTE,25/06/2014,02/09/2014 - 01/10/2014,AUTRE : [COMMUNICATION],,
ASTRAZENECA,Médecin,AL HALABI ASSEM,11/03/2014,11/03/2014 -,Formation,,
ASTRAZENECA,Médecin,AL HALABI ASSEM,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,AUGUSSEAU MARIE PAUL,10/07/2013,10/07/2013 -,Formation,,
ASTRAZENECA,Médecin,AUGUSSEAU MARIE PAUL,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BERTON CHRISTOPHE,11/03/2014,11/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BOUQUINET THIERRY,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BOUSSATON ARNOULT SYLVIE,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BOUZAHER TOUTIS,21/05/2014,21/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BRETEAU NOEL,03/04/2014,03/04/2014 -,Formation,,
