A+A,Médecin,TRAN PHAT MAURICE,06/12/2012,05/12/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CART PHILIPPE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CART PHILIPPE,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CART PHILIPPE,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CART PHILIPPE,21/05/2014,21/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CART PHILIPPE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Pharmacien,SEBBAK RICHARD,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Pharmacien,THIRION ALINE,08/10/2013,08/10/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,LODOVICHETTI PASCALE,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LODOVICHETTI THIERRY,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,CART PHILIPPE,04/07/2013,04/07/2013 - 04/07/2013,Autre : [ hospitalité ],,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Médecin,CART PHILIPPE,03/04/2014,03/04/2014 - 04/04/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,CART PHILIPPE,28/02/2014,28/02/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,CART PHILIPPE,11/12/2013,11/12/2013 -,Recherche,,
MSD France,Infirmier,VIGNERON PATRICIA,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CART PHILIPPE,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CART PHILIPPE,10/10/2013,10/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CART PHILIPPE,18/02/2014,18/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LODOVICHETTI PASCALE,18/02/2014,18/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LODOVICHETTI THIERRY,18/02/2014,18/02/2014 -,CONVENTION D HOSPITALITE,,
