A+A,Pharmacien,DUBREUCQ AGNES,22/02/2012,20/02/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,KAABI ABDELMAJID,03/10/2013,03/10/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,DIDELOT PIERRE,24/10/2013,24/10/2013 - 24/10/2013,AUTRE : MANIFESTATION DE PROMOTION,,
LES LABORATOIRES SERVIER,Médecin,KAABI ABDELMAJID,13/03/2014,13/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
Lilly France SAS,Pharmacien,BARRAS SPIRE LAETITIA,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
Lilly France SAS,Pharmacien,BEUCLER JEREMY,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
Lilly France SAS,Pharmacien,DARRAS ANTOINE,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
Lilly France SAS,Pharmacien,DECROIX AURELIE,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
Lilly France SAS,Pharmacien,DUBREUCQ AGNES,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
Lilly France SAS,Pharmacien,DUBREUCQ DOMINIQUE,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
Lilly France SAS,Pharmacien,SPIRE BRIGITTE,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
Lilly France SAS,Pharmacien,SPIRE JEAN JACQUES,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
LOL PHARMA,Pharmacien,CALON JEAN CHRISTOPHE CALON JEAN CHRISTOPHE,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CALON JEAN CHRISTOPHE CALON JEAN CHRISTOPHE,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,DIDELOT PIERRE,07/03/2014,07/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,KAABI ABDELMAJID,06/02/2014,06/02/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,DIDELOT PIERRE,27/09/2013,27/09/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DIDELOT PIERRE,21/02/2014,21/02/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DIDELOT PIERRE,28/11/2013,28/11/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Pharmacien,DECROIX AURELIE,14/03/2014,14/03/2014 - 14/03/2014,Autre : [Réunion],,
