3M France,Association professionnel de santé,CICAT LR,26/06/2014,26/06/2014 - 26/06/2014,AUTRE : [STAND/TABLE],,
3M France,Chirurgien-dentiste,SANAC REGINE,26/04/2014,26/04/2014 - 27/04/2014,FORMATION,,
A+A,Médecin,BRUNET WAESELYNCK MICHELE,23/01/2012,23/01/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DELMAS MAGALI,18/07/2012,18/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DELMAS MAGALI,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,IRLES GERARD,25/10/2012,25/10/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,AZOURI ANTOINE,20/02/2014,20/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,CHURET CHRISTIAN,20/02/2014,20/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,IRLES GERARD,06/02/2014,06/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,IRLES GERARD,23/04/2014,23/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Infirmier,DABLIN FRIEDRICH MARIE NOELLE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Infirmier,FOSSE JEANINE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Infirmier,SCULFORT FRANCK,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Infirmier,TOGNOLLI SABINE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Infirmier,TONK KARINE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BARBERA JEAN PIERRE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BARBERA JEAN PIERRE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GAUBERT Robert,18/10/2013,18/10/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,GAUBERT ROBERT,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,GAUBERT ROBERT,26/09/2013,26/09/2013 -,Formation,,
