ASTRAZENECA,Médecin,AOUDIA SEDDIK,05/06/2014,05/06/2014 -,Formation,,
BOIRON,Pharmacien,FILLON JEAN-LUC,05/12/2013,05/12/2013 -,[FORMATION],,
IPSEN PHARMA,Médecin,AOUDIA SEDDIK,20/11/2013,20/11/2013 - 20/11/2013,CONVENTION HOSPITALITE,,
LOL PHARMA,Pharmacien,FILLON FILLON,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,FILLON FILLON,02/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE FILLON,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE FILLON,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE FILLON,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE FILLON,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Pharmacien,FILLON SYLVIE,24/10/2013,24/10/2013 -,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FILLON JEAN LUC,24/10/2013,24/10/2013 -,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
