3M France,Médecin,SOUCHET ALAIN,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
A+A,Médecin,BAGARD JACQUES,01/03/2013,01/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BEYRIBEY MICHAEL,04/03/2013,01/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BEYRIBEY MICHAEL,16/01/2013,16/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BEYRIBEY MICHAEL,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,BOCHRER CHRISTIAN,02/01/2013,02/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BOEHRER CHRISTIAN,21/03/2012,20/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,BOEHRER CHRISTIAN,19/06/2012,19/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,BOEHRER CHRISTIAN,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,BOEHRER CHRISTIAN,20/05/2013,17/05/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BOEHRER CHRISTIAN,26/04/2012,25/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,BOEHRER CHRISTIAN,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DE GUIO GERARD,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DE GUIO GERARD,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DREYER CHRISTINE,04/06/2013,04/06/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,HEINTZ BRUNO,25/07/2012,25/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HIRSCHHORN PATRICK,18/09/2013,17/09/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,HIRSCHHORN PATRICK,04/12/2013,03/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,HIRSCHHORN PATRICK,26/09/2012,25/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HIRSCHHORN PATRICK,13/06/2012,13/06/2012 -,ETUDE DE MARCHE,,
