A+A,Médecin,GOUDEAUX PIERRE,26/03/2012,23/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BOUCHETOUX HENRI,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GOUDEAUX PIERRE,26/09/2013,26/09/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUCHETOUX HENRI,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOUDEAUX PIERRE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,BLAVOUX BENJAMIN,22/10/2013,22/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BOUCHETOUX HENRI,22/10/2013,22/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,GORGE MARIEN,22/10/2013,22/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,GOUDEAUX PIERRE,22/10/2013,22/10/2013 -,Autre : Manifestation scientifique,,
MAPI SAS,Etablissement de santé,PHARMACIE BENTZ LEGRAND EURL,17/04/2013,17/04/2013 -,CONVENTION DE RECHERCHE,,
MAPI SAS,Pharmacien,BENTZ-LEGRAND ANNICK,17/04/2013,17/04/2013 -,CONVENTION DE RECHERCHE,,
MENARINI FRANCE,Médecin,BLAVOUX BENJAMIN,06/02/2014,06/02/2014 - 06/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,GORGE MARIEN,06/02/2014,06/02/2014 - 06/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,GOUDEAUX PIERRE,06/02/2014,06/02/2014 - 06/02/2014,Autre : Réunion scientifique,,
PIERRE FABRE MEDICAMENT,Médecin,BLAVOUX BENJAMIN,27/03/2014,27/03/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,BOUCHETOUX HENRI,05/10/2013,05/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,BOUCHETOUX HENRI,27/03/2014,27/03/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,COULOUMY PATRICK,27/03/2014,27/03/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,GOUDEAUX PIERRE,05/10/2013,05/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,GOUDEAUX PIERRE,27/03/2014,27/03/2014 -,CONVENTION D'HOSPITALITE,,
