A+A,Médecin,VUILLET HERVE,27/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,AUBRY JEAN,23/10/2013,23/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CAMPILLO ANTOINE,23/10/2013,23/10/2013 -,Formation,,
ASTRAZENECA,Médecin,ENAULT GERARD,23/10/2013,23/10/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,CAMPILLO ANTOINE,10/04/2014,10/04/2014 - 10/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DAVID MIREILLE,10/12/2013,10/12/2013 - 10/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,ENAULT GERARD,10/04/2014,10/04/2014 - 10/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,NIEC MIREILLE,10/04/2014,10/04/2014 - 10/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,VUILLET HERVE,10/04/2014,10/04/2014 - 10/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARES FRANCK,11/04/2014,11/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,AMOROS DOMINIQUE,08/04/2014,08/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,DUPUIS EMMANUELLE,24/04/2014,24/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,DUPUIS EMMANUELLE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUPIN JULIEN,24/04/2014,24/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUPIN JULIEN,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MALGOGNE LAURA,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MALGOGNE LAURA,24/04/2014,24/04/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,CAMPILLO ANTOINE,02/10/2013,02/10/2013 - 02/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,ENAULT GERARD,02/10/2013,02/10/2013 - 02/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,MARES FRANCK,05/10/2013,05/10/2013 - 06/10/2013,Autre : [ hospitalité ],,
