3M France,Association professionnel de santé,SOBHL,05/06/2014,05/06/2014 - 05/06/2014,AUTRE : [STAND],,
A+A,Médecin,BLOCK FLORIAN,06/04/2012,06/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HAMMADI AMOKRANE,06/06/2013,06/06/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,KAMBA AUGUSTIN,25/07/2012,25/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,KLAUBER PHILIPPE,05/09/2012,05/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,KLAUBER PHILIPPE,25/07/2012,25/07/2012 -,ETUDE DE MARCHE,,
ALK-Abelló,Médecin,CLAUSSNER PAULIGNAN MARTINE,07/06/2014,07/06/2014 - 11/06/2014,CongrÃ¨s/symposium,,
ALK-Abelló,Médecin,HATAHET RIAD,18/01/2014,18/01/2014 - 18/01/2014,Autre : RÃ©union scientifique,,
ALK-Abelló,Médecin,HATAHET RIAD,28/12/2012,28/12/2012 -,RECHERCHE,,
ALK-Abelló,Médecin,HATAHET RIAD,30/01/2013,30/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
ALK-Abelló,Médecin,HATAHET RIAD,23/12/2012,23/12/2012 -,Autre : [Collaboration Scientifique],,
ALK-Abelló,Médecin,HATAHET RIAD,31/01/2014,31/01/2014 - 02/02/2014,CongrÃ¨s/symposium,,
ALK-Abelló,Médecin,HATAHET RIAD,25/06/2013,25/06/2013 -,Recherche,,
ALK-Abelló,Médecin,HATAHET RIAD,30/01/2013,30/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
All Global,Médecin,Claussner Martine,17/12/2013,17/12/2013 -,[Marketing],,
ASPIDE MEDICAL,Médecin,RADULESCU MIHAI,03/03/2014,08/04/2014 - 08/04/2014,FORMATION,,
ASTELLAS PHARMA,Médecin,BLOCK FLORIAN,25/07/2013,25/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,BOECKLER ROLAND,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BOECKLER ROLAND,02/10/2013,02/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BOECKLER ROLAND,03/12/2013,03/12/2013 -,Formation,,
