All Global,Médecin,Rodon Philippe,30/05/2014,30/05/2014 -,[Marketing],,
ASTRAZENECA,Pharmacien,ASOU PASCALE,17/04/2014,17/04/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BERNARD DOMINIQUE,26/09/2013,26/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
M3 Global Research Ltd,Médecin,Philippe Rodon,25/04/2014,25/04/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Philippe Rodon,18/06/2014,18/06/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Philippe Rodon,09/04/2014,09/04/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Philippe Rodon,14/04/2014,14/04/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,Philippe Rodon,10/06/2014,10/06/2014 -,Marketing,,
MSD France,Médecin,COURVOISIER THIERRY,05/06/2012,05/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DOUBLIER VIRGINIE,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MOTTU MARIE BEATRICE,14/06/2012,14/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,RILLARD PASCAL,14/06/2012,14/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,CHOLLET CLEAC H ANNE,27/03/2014,27/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,FERRER GERALDINE,21/02/2014,21/02/2014 -,RECHERCHE BIOMÉDICALE,,
MSD France,Pharmacien,TESSIER SCHEIPS SOPHIE,27/03/2014,27/03/2014 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Médecin,BERNARD DOMINIQUE,22/05/2014,22/05/2014 - 22/05/2014,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
ULURU SANTE / VIGIE Pharma,Médecin,RODON Philippe,01/01/2014,01/01/2014 -,Etudes,,
ULURU SANTE / VIGIE Pharma,Médecin,RODON Philippe,01/07/2013,01/07/2013 -,Etudes,,
Vivactis-M2Research,Médecin,Rodon Philippe,05/06/2013,05/06/2013 -,Participation à une étude de marché,,
