ASTRAZENECA,Médecin,TARDIEUX DOMINIQUE,01/04/2014,01/04/2014 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARDIEUX DOMINIQUE,16/01/2014,16/01/2014 - 16/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARDIEUX DOMINIQUE,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARDIEUX DOMINIQUE,04/07/2013,04/07/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SALAVERT HERVE,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,SALAVERT HERVE,04/07/2013,04/07/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TAILLANDIER JULIEN,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,TAILLANDIER JULIEN,04/07/2013,04/07/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,TARDIEUX DOMINIQUE,18/10/2013,18/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,TARDIEUX DOMINIQUE,07/11/2013,07/11/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,TARDIEUX DOMINIQUE,01/04/2014,01/04/2014 - 01/04/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Pharmacien,ROBERT STEPHANIE,01/04/2014,01/04/2014 - 01/04/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MENARINI FRANCE,Médecin,TARDIEUX DOMINIQUE,06/02/2014,06/02/2014 - 06/02/2014,Autre : Réunion scientifique,,
MSD France,Infirmier,COUET DEMANGEON SANDRA,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TARDIEUX DOMINIQUE,12/10/2012,12/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,TARDIEUX DOMINIQUE,20/09/2013,20/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TARDIEUX DOMINIQUE,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SALAVERT / SARL,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
