All Global,Médecin,Koral Jerome,24/04/2014,24/04/2014 -,[Marketing],,
ASTRAZENECA,Médecin,CHIARONI PHILIPPE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ROGER DENIS,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ROGER DENIS,18/12/2013,18/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VAN OSTA WILHELMINA,18/12/2013,18/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VAN OSTA WILHELMINA,26/11/2013,26/11/2013 -,Formation,,
Elixo SAS,Pharmacien,CONNETABLE BRIGITTE,06/09/2013,06/09/2013 - 06/09/2013,Autre : [entretien],,
MSD France,Masseur-kinésithérapeute,PONTHIEUX AURELIE,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FROC SOLENNE,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,KORAL JEROME,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ROGER DENIS,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ROGER DENIS,27/11/2012,27/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,VAN OSTA WILHELMINA,27/11/2012,27/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,VAN OSTA WILHELMINA,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MUNDIPHARMA,Médecin,ROGER DENIS,16/10/2013,16/10/2013 -,FORMATION,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GOBET,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
