All Global,Médecin,Duthoit Thierry,05/12/2013,05/12/2013 -,[Marketing],,
ASTRAZENECA,Médecin,ARROS KNOCKAERT VERONIQUE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,ARROS KNOCKAERT VERONIQUE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DUTHOIT HELENE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DUTHOIT HELENE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DUTHOIT THIERRY,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DUTHOIT THIERRY,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,STELANDRE ANTOINE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,STELANDRE ANTOINE,10/04/2014,10/04/2014 -,Formation,,
ATOS MEDICAL SAS,Orthophoniste,GODIN BERNADETTE,12/12/2013,12/12/2013 - 12/12/2013,Autre : [HOSPITALITE],,
Bayer HealthCare SAS,Médecin,ARROS KNOCKAERT VERONIQUE,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DUTHOIT THIERRY,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,STELANDRE ANTOINE,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ARROS KNOCKAERT VERONIQUE,16/01/2014,16/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DUTHOIT HELENE,16/01/2014,16/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DUTHOIT THIERRY,16/01/2014,16/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,STELANDRE ANTOINE,16/01/2014,16/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEUCI VIVIANE,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEUCI VIVIANE,22/05/2014,22/05/2014 -,[FORMATION],,
JANSSEN-CILAG,Médecin,ARROS KNOCKAERT VERONIQUE,13/06/2013,13/06/2013 - 13/06/2013,CONGRES / SYMPOSIUM,,
